Season,Position,Manager,Points Home,Points Away
2020-21,Third Position,Ronald Koeman,38,41
2019-20,Runners-Up,Ernesto Valverde / Quique Setién,50,32
2018-19,Winners,Ernesto Valverde,48,39
2017-18,Winners,Ernesto Valverde,51,42
2016-17,Runners-Up,Luis Enrique,48,42
2015-16,Winners,Luis Enrique,49,42
2014-15,Winners,Luis Enrique,49,45
2013-14,Runners-Up,Gerardo Martino,50,37
2012-13,Winners,Tito Vilanova,55,45
2011-12,Runners-Up,Pep Guardiola,52,39
2010-11,Winners,Pep Guardiola,50,46
2009-10,Winners,Pep Guardiola,55,44
2008-09,Winners,Pep Guardiola,45,42
2007-08,Third Position,Frank Rijkaard,44,23
2006-07,Runners Up,Frank Rijkaard,47,29
2005-06,Winners,Frank Rijkaard,48,34
2004-05,Winners,Frank Rijkaard,46,38
2003-04,Runners-Up,Frank Rijkaard,36,36