Name,Age,Academy
Carles Busquets Barroso,28,1
Albert Ferrer Llopis,25,1
Sergi Barjuán Esclusa,24,1
Gheorghe Popescu,28,0
Miquel Àngel Nadal Homar,29,0
Luís Filipe Madeira Caeiro Figo,23,0
José María Bakero Escudero,32,0
Josep Guardiola Sala,24,1
Roger García Junyent,19,1
Iván de la Peña López,19,1
Mehmed Kodro Šejtanić,28,0
Jesús Mariano Angoy Gil,29,1
Abelardo Fernández Antuña,25,0
Guillermo Amor Martínez,28,1
Òscar García Junyent,22,1
Robert Prosinečki,26,0
Julen Lopetegi Agote,29,0
Gheorghe Hagi,30,0
Lluís Carreras Ferrer,23,1
Albert Celades López,20,1
Johan Jordi Cruijff Coster,21,1
Antonio Velamazán Tejedor,18,1
Ángel Manuel Cuéllar Llanos,23,0
Juan Carlos Moreno Rodríguez,20,1
Xavier Roca Mateo,21,1
Enrique Álvarez Sanjuán,20,1
Francisco Javier García Pimienta,21,1
Josep Setvalls Morera,21,1
Francisco Joaquín Pérez Rufete,19,1
Juan José Carricondo Pérez,18,1